id,x_centroid(lon),y_centroid(lat),perimeter(m),area(m_sq),majority_landuse,min_elev(m),max_elev(m),range_elev(m),mean_elev(m),std_elev(m),xmin(lon),ymin(lat),xmax(lon),ymax(lat),bearing(deg),length_to_width_ratio,diagonal(m),lengths(m),widths(m),STATE_NAME,SUB_REGION
678,-80.303406,34.198173,2107.613509,277565.9001,213,69.215149,76.730949,7.5158,71.701372,1.152827,-84.346366,31.546174,-84.343102,31.549454,-5.657327051,1.17915957,478.211379,364.7193606,309.3044995,South Carolina,South Atlantic
679,-84.117348,31.415506,2962.692425,548596.6049,34,55.906364,63.420689,7.514324,57.024433,1.743892,-84.629784,31.157681,-84.625884,31.160863,-4.37007486,1.048840966,512.7408689,371.1032712,353.8222508,Georgia,South Atlantic
680,-84.435282,31.133894,1852.872446,214566.0196,556,39.751701,47.265915,7.514214,43.700799,1.781804,-76.375256,35.620735,-76.307943,35.672865,-10.39236779,1.049646389,8402.136971,6084.371364,5796.591526,Georgia,South Atlantic
681,-74.620108,39.308176,686.1332,29395.53953,450,0.131965,7.642633,7.510669,1.511839,1.428619,-74.876008,39.038619,-74.873669,39.040251,-10.32360527,1.113205695,271.5510163,202.0135844,181.470132,New Jersey,Middle Atlantic
682,-79.50122,34.866161,1738.675356,187767.1954,11,85.55262,93.061966,7.509346,87.810577,2.231777,-80.080749,34.223235,-80.073892,34.22896,-8.191482377,1.009748605,895.925175,636.5909538,630.4449947,North Carolina,South Atlantic
683,-78.286801,34.644273,8877.124048,4740077.719,399,21.964981,29.472229,7.507248,24.617728,1.108648,-79.54083,34.588862,-79.53592,34.59262,-7.915573504,1.07560976,613.6986179,449.4656247,417.8705339,North Carolina,South Atlantic
684,-84.755427,31.065472,4247.920423,1127801.688,556,42.619888,50.126286,7.506397,45.463382,1.416226,-84.398821,31.286519,-84.394928,31.289849,-4.776056977,1.000936628,523.404176,370.2791111,369.9326219,Georgia,South Atlantic
685,-80.145496,34.357008,6083.194502,2138953.256,581,66.407013,73.911278,7.504265,71.394526,2.205678,-84.418236,31.528876,-84.41441,31.532326,-5.016170935,1.057894967,527.8830737,383.6224973,362.6281524,South Carolina,South Atlantic
686,-80.992421,33.203936,1193.410796,88995.5481,241,35.111858,42.604134,7.492275,38.471932,1.87442,-81.338394,33.427963,-81.333144,33.433611,-9.209717042,1.289044409,794.8419203,628.0289491,487.2050525,South Carolina,South Atlantic
687,-79.394617,34.291492,2324.291527,335299.6986,38,30.13064,37.610947,7.480307,33.426216,1.141403,-84.089616,31.481849,-84.086401,31.484128,-4.177390357,1.20305845,396.4369955,304.8709352,253.4132362,South Carolina,South Atlantic
688,-84.216059,31.307275,3753.135034,879963.4184,556,50.328873,57.807949,7.479076,54.022783,1.449751,-75.800675,37.623048,-75.798419,37.624711,-10.25506388,1.074474773,271.423525,198.6888349,184.9171706,Georgia,South Atlantic
689,-80.380442,33.830042,2887.045987,519017.446,557,51.093922,58.572449,7.478527,52.871317,1.776078,-80.704946,33.29035,-80.702186,33.293062,-9.022377797,1.17551013,395.9134781,301.5606403,256.5359776,South Carolina,South Atlantic
690,-74.274356,39.696403,881.5612,48556.15121,582,10.353744,17.830431,7.476687,11.423865,1.456096,-74.578077,39.612101,-74.575253,39.614207,-11.22420667,1.033024272,336.6857902,241.9100257,234.1765168,New Jersey,Middle Atlantic
691,-84.127927,31.698189,1225.343114,93759.93411,34,68.440437,75.913078,7.472641,71.341777,1.893125,-84.282128,31.301795,-84.278849,31.305348,-6.165452331,1.268150864,503.1264145,395.075578,311.5367336,Georgia,South Atlantic
692,-84.216329,32.140206,2176.630151,294916.1334,38,140.12648,147.597229,7.470749,142.806656,1.737915,-75.643961,37.712398,-75.634806,37.720209,-11.9568527,1.078503951,1184.417156,868.5435699,805.3225663,Georgia,South Atlantic
693,-80.97894,33.220053,2449.964656,243089.6333,557,36.584297,44.041214,7.456917,41.961948,1.239032,-81.495752,32.55342,-81.487399,32.557655,-4.292653634,1.662493795,913.5852344,782.8858086,470.9105147,South Carolina,South Atlantic
694,-79.32669,34.162728,4494.335662,1262432.898,556,24.048187,31.503626,7.455439,27.044303,0.844403,-84.558643,31.492281,-84.555033,31.49569,-5.120709684,1.107434799,510.7319272,379.0635087,342.2896851,South Carolina,South Atlantic
