dist_to_water(m),car_bay_x_centroid(lon),car_bay_y_centroid(lat),perim_bay,xmin_bay(lon),ymin_bay(lat),xmax_bay(lon),ymax_bay(lat),area_water_body(km_sq),FType,FCode,area_bay(m_sq),perim_water(m)
470.950175,-75.709977,39.172581,599.638427,-75.710881,39.17193,-75.709073,39.173233,0.004,466,46600,22438.48043,0.002612
449.876908,-75.741874,39.158117,987.390013,-75.743209,39.156925,-75.740539,39.15931,0.001,466,46600,60640.92983,0.00141
206.678095,-75.737474,39.162945,1660.18841,-75.739885,39.161068,-75.735064,39.164822,0.001,390,39004,172264.0925,0.001434
28.89296,-75.732696,39.159315,1389.257051,-75.73453,39.157602,-75.730862,39.161027,0.001,390,39004,119621.4234,0.001266
71.994755,-75.736727,39.174903,1239.58528,-75.738569,39.173534,-75.734886,39.176271,0.005,466,46600,95983.99823,0.002804
61.549048,-75.714003,39.156235,1452.539616,-75.715868,39.154404,-75.712138,39.158066,0.003,466,46600,130085.1502,0.002158
256.887964,-75.736484,39.170498,979.812936,-75.737777,39.16929,-75.735191,39.171707,0.006,466,46600,59494.66002,0.003592
537.722517,-75.717468,39.17418,698.104667,-75.718602,39.173485,-75.716334,39.174875,0.004,466,46600,30022.55423,0.002466
364.356853,-75.711625,39.173931,503.838017,-75.712355,39.173361,-75.710895,39.174502,0.004,466,46600,15865.74283,0.002612
483.213361,-75.710995,39.154391,916.494562,-75.712481,39.153476,-75.709509,39.155305,0.003,466,46600,51768.1668,0.002158
0.815878,-75.731162,39.178351,1129.082017,-75.733091,39.1773,-75.729234,39.179403,0.008,466,46600,77165.25422,0.003921
294.255653,-75.722729,39.172084,495.907133,-75.723418,39.171499,-75.72204,39.172669,0.011,466,46600,15340.89257,0.004334
15.496292,-75.701631,39.171396,1828.718195,-75.704138,39.169215,-75.699124,39.173577,0.014,466,46600,208361.3999,0.004998
49.724612,-75.695356,39.169743,2249.814936,-75.698367,39.167003,-75.692345,39.172483,0.022,466,46600,314409.6915,0.007175
